forecast_timestamp,team,group,spi,global_o,global_d,sim_wins,sim_ties,sim_losses,sim_goal_diff,goals_scored,goals_against,group_1,group_2,group_3,group_4,make_round_of_16,make_quarters,make_semis,make_final,win_league,timestamp
2018-06-17 16:52:10 UTC,Uruguay,A,80.04062,2.2736,0.59125,2.1092,0.47031,0.42049,2.733,4.53469,1.80169,0.44808,0.49182,0.05777,0.00233,0.9399,0.35828,0.15996,0.06361,0.02453,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Switzerland,E,78.14181,2.28471,0.68735,1.11062,0.80255,1.08683,0.0152,3.85857,3.84337,0.16944,0.34528,0.32242,0.16286,0.51472,0.25435,0.12411,0.05206,0.01983,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Russia,A,72.32631,2.01687,0.76488,1.91252,0.56833,0.51915,5.8278,7.81103,1.98323,0.54096,0.37802,0.07987,0.00115,0.91898,0.34426,0.1452,0.05357,0.01977,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Mexico,F,76.66933,2.17655,0.68367,1.891,0.55704,0.55196,1.73628,3.89589,2.15961,0.51871,0.27982,0.1558,0.04567,0.79853,0.29398,0.12403,0.04401,0.01424,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Denmark,C,74.37596,2.09598,0.73126,1.75875,0.50957,0.73168,1.04453,3.81387,2.76934,0.30912,0.46548,0.18277,0.04263,0.7746,0.31122,0.1153,0.04195,0.01364,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Serbia,E,73.68826,2.0414,0.7231,1.4405,0.52258,1.03692,-0.35211,2.90304,3.25515,0.16115,0.39166,0.41137,0.03582,0.55281,0.23915,0.10019,0.03636,0.0115,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Sweden,F,73.86757,2.05513,0.72496,1.07376,0.79204,1.1342,-0.21337,3.87664,4.09001,0.20943,0.21298,0.36447,0.21312,0.42241,0.15431,0.06829,0.02529,0.00898,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Poland,H,73.28044,2.18065,0.84065,1.15572,0.83601,1.00827,0.32749,4.11574,3.78825,0.27396,0.27301,0.24314,0.20989,0.54697,0.20548,0.07263,0.02537,0.00839,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Japan,H,71.43255,2.06588,0.84009,0.94242,0.85071,1.20687,-0.58712,3.57699,4.16411,0.18943,0.2412,0.27846,0.29091,0.43063,0.13841,0.04159,0.01318,0.00344,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Iceland,D,67.61403,1.94492,0.91545,0.56396,1.55815,0.87789,-0.70239,3.19254,3.89493,0.10556,0.23758,0.36242,0.29444,0.34314,0.11458,0.03443,0.00985,0.00244,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Iran,B,66.39664,1.59443,0.68811,1.20449,0.44866,1.34685,-1.64017,2.12788,3.76805,0.10927,0.22614,0.57004,0.09455,0.33541,0.11495,0.03321,0.00852,0.00237,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Peru,C,72.19683,1.95375,0.72466,0.64707,0.51909,1.83384,-1.45052,2.45596,3.90648,0.03493,0.13558,0.41832,0.41117,0.17051,0.05985,0.01866,0.00627,0.00195,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Senegal,H,65.96802,1.65995,0.75761,0.75485,0.88495,1.3602,-1.23606,2.85267,4.08873,0.12753,0.20736,0.28496,0.38015,0.33489,0.09044,0.02371,0.00622,0.0015,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Nigeria,D,69.03482,1.77134,0.72074,0.48747,0.56669,1.94584,-2.96005,1.86108,4.82113,0.02101,0.11776,0.26176,0.59947,0.13877,0.04621,0.01526,0.0042,0.00121,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Morocco,B,71.12608,1.79471,0.65308,0.28553,0.4914,2.22307,-3.12097,1.43163,4.5526,0.02292,0.03626,0.16105,0.77977,0.05918,0.02638,0.00992,0.00341,0.00111,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Tunisia,G,59.59496,1.62315,0.98848,0.55199,0.69566,1.75235,-2.94198,2.46157,5.40355,0.03752,0.12072,0.41236,0.4294,0.15824,0.04953,0.01031,0.00201,0.00034,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Egypt,A,61.37354,1.54988,0.85073,0.65728,0.55543,1.78729,-1.27827,2.22503,3.5033,0.00843,0.10768,0.63617,0.24772,0.11611,0.01817,0.00488,0.00122,0.00032,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Costa Rica,E,64.60044,1.69093,0.83843,0.23616,0.42875,2.33509,-3.64332,1.25542,4.89874,0.00542,0.03721,0.1778,0.77957,0.04263,0.01376,0.00434,0.00099,0.00027,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,South Korea,F,60.1367,1.61593,0.95934,0.43749,0.6734,1.88911,-3.57805,2.31192,5.88997,0.04394,0.07914,0.21602,0.6609,0.12308,0.02187,0.00575,0.00127,0.00022,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Australia,C,62.52712,1.80032,1.01758,0.45481,0.52876,2.01643,-2.23998,3.06395,5.30393,0.01571,0.14579,0.30188,0.53662,0.1615,0.03651,0.00741,0.0018,0.0002,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Panama,G,56.47272,1.45612,0.96652,0.45543,0.6766,1.86797,-3.42827,2.08846,5.51673,0.02403,0.09593,0.37206,0.50798,0.11996,0.03263,0.00606,0.00113,0.00017,2018-06-17 16:53:56 UTC
2018-06-17 16:52:10 UTC,Saudi Arabia,A,48.82583,1.41276,1.25388,0.29526,0.45741,2.24733,-7.28253,1.49396,8.77649,0.00253,0.02248,0.22619,0.7488,0.02501,0.00196,0.00029,4.0e-05,0.0,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Brazil,E,92.81522,3.10876,0.30493,2.0248,0.63266,0.34254,4.04483,6.04549,2.00066,0.67564,0.2184,0.08291,0.02305,0.89404,0.65871,0.46291,0.30835,0.19259,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Spain,B,91.30254,3.21114,0.46145,1.90567,0.67013,0.4242,3.52194,5.73107,2.20913,0.60657,0.26126,0.09883,0.03334,0.86783,0.70556,0.47535,0.2899,0.17486,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Germany,F,90.61094,3.23346,0.52224,2.05956,0.57317,0.36727,4.36945,6.82064,2.45119,0.68292,0.2123,0.08279,0.02199,0.89522,0.58603,0.39949,0.23557,0.13305,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,France,C,87.17682,2.88582,0.56975,1.90986,0.63823,0.45191,3.65002,6.33439,2.68437,0.61025,0.24509,0.10739,0.03727,0.85534,0.53285,0.3115,0.15725,0.07884,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Argentina,D,87.41192,2.58581,0.39899,1.60352,0.82229,0.57419,2.22487,4.68779,2.46292,0.4797,0.28915,0.15456,0.07659,0.76885,0.49485,0.26548,0.13841,0.07004,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Belgium,G,85.40682,2.81096,0.63262,1.86493,0.62705,0.50802,3.4892,6.02091,2.53171,0.49955,0.3714,0.10064,0.02841,0.87095,0.5864,0.27298,0.14032,0.06613,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,England,G,83.72824,2.34392,0.45752,1.76783,0.71267,0.5195,2.85787,5.11615,2.25828,0.43839,0.41026,0.11734,0.03401,0.84865,0.57501,0.27141,0.13954,0.06535,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Portugal,B,83.46619,2.40348,0.50431,1.36327,0.83786,0.79887,1.12869,4.06002,2.93133,0.27963,0.40523,0.2186,0.09654,0.68486,0.46394,0.25357,0.12211,0.05532,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Croatia,D,80.38099,2.28947,0.58512,1.31289,0.85741,0.8297,1.04557,4.11161,3.06604,0.31877,0.3237,0.22183,0.1357,0.64247,0.3485,0.16137,0.07114,0.03005,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Colombia,H,80.52894,2.1824,0.51246,1.42086,0.87723,0.70191,1.48243,4.25621,2.77378,0.4054,0.28219,0.19253,0.11988,0.68759,0.32028,0.12797,0.05394,0.02128,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Uruguay,A,79.52363,2.2853,0.62285,1.60644,0.7668,0.62676,2.26712,5.02557,2.75845,0.44315,0.31742,0.16886,0.07057,0.76057,0.29347,0.13021,0.0505,0.01852,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Switzerland,E,78.14181,2.28471,0.68735,1.11761,0.79458,1.08781,0.0425,3.93774,3.89524,0.17229,0.35799,0.29639,0.17333,0.53028,0.22852,0.11048,0.04586,0.01733,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Russia,A,70.14205,1.94268,0.80439,1.52605,0.79297,0.68098,1.8979,4.75174,2.85384,0.39334,0.33939,0.18757,0.0797,0.73273,0.25805,0.10662,0.03683,0.01253,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Denmark,C,74.74844,2.13883,0.74455,1.18423,0.78091,1.03486,0.32555,4.32899,4.00344,0.21013,0.34497,0.2792,0.1657,0.5551,0.23159,0.0883,0.0316,0.01088,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Sweden,F,73.86757,2.05513,0.72496,1.07606,0.78367,1.14027,-0.24287,3.89302,4.13589,0.15296,0.34307,0.31844,0.18553,0.49603,0.16519,0.07125,0.02691,0.00872,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Serbia,E,73.8232,2.08408,0.74737,0.92961,0.78799,1.2824,-0.85485,3.4729,4.32775,0.11973,0.28976,0.34526,0.24525,0.40949,0.15346,0.06667,0.02452,0.0081,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Poland,H,73.28044,2.18065,0.84065,1.15518,0.84352,1.0013,0.3355,4.12144,3.78594,0.27521,0.27299,0.24589,0.20591,0.5482,0.20791,0.06716,0.023,0.00746,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Mexico,F,75.77906,2.16425,0.71564,1.02236,0.77355,1.20409,-0.50567,3.83029,4.33596,0.13518,0.32323,0.33644,0.20515,0.45841,0.14623,0.06187,0.02276,0.00734,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Morocco,B,72.33079,1.86875,0.65756,0.701,0.83836,1.46064,-1.73852,2.53581,4.27433,0.07683,0.20432,0.37611,0.34274,0.28115,0.13647,0.04977,0.01558,0.00479,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Peru,C,72.15616,1.97974,0.74528,0.94483,0.79077,1.2644,-0.74781,3.66578,4.41359,0.13536,0.27335,0.33959,0.2517,0.40871,0.14219,0.04569,0.01374,0.00387,2018-06-17 16:53:56 UTC
2018-06-13 15:00:46 UTC,Japan,H,71.43255,2.06588,0.84009,0.93493,0.85473,1.21034,-0.58988,3.57567,4.16555,0.18965,0.24082,0.27372,0.29581,0.43047,0.13797,0.03641,0.0111,0.00293,2018-06-17 16:53:56 UTC
